Codigo,Mes,Demanda_Unid,Stock_Unid
PROD001,202401,150,50
PROD001,202402,165,45
PROD001,202403,180,40
PROD001,202404,175,60
PROD001,202405,190,30
PROD001,202406,200,25
PROD001,202407,185,45
PROD001,202408,195,35
PROD001,202409,210,20
PROD001,202410,220,15
PROD001,202411,230,10
PROD001,202412,250,5
PROD002,202401,300,100
PROD002,202402,320,95
PROD002,202403,310,105
PROD002,202404,330,90
PROD002,202405,340,85
PROD002,202406,360,75
PROD002,202407,350,80
PROD002,202408,370,70
PROD002,202409,390,60
PROD002,202410,410,50
PROD002,202411,430,40
PROD002,202412,450,30
PROD003,202401,75,25
PROD003,202402,80,23
PROD003,202403,85,20
PROD003,202404,82,22
PROD003,202405,88,18
PROD003,202406,92,16
PROD003,202407,89,19
PROD003,202408,94,14
PROD003,202409,100,12
PROD003,202410,105,10
PROD003,202411,110,8
PROD003,202412,115,5
